,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
7332,Dhofar 184,6968.0,Valid,L6,66.6,Found,2000.0,18.85639,54.47528,"(18.856390, 54.475280)"
7333,Dhofar 185,6969.0,Valid,L6,516.2,Found,2000.0,18.87222,54.47861,"(18.872220, 54.478610)"
7334,Dhofar 186,6970.0,Valid,L6,146.0,Found,2000.0,18.88306,54.46583,"(18.883060, 54.465830)"
7335,Dhofar 187,6971.0,Valid,L5,3049.2,Found,2000.0,18.85972,54.47056,"(18.859720, 54.470560)"
7336,Dhofar 188,6972.0,Valid,H4,234.0,Found,2000.0,18.21167,54.14833,"(18.211670, 54.148330)"
7337,Dhofar 189,6973.0,Valid,H3.8,120.0,Found,2000.0,18.34167,54.195,"(18.341670, 54.195000)"
7338,Dhofar 190,6974.0,Valid,H4,90.0,Found,2000.0,18.38833,54.295,"(18.388330, 54.295000)"
7339,Dhofar 191,6975.0,Valid,H4,226.0,Found,2000.0,18.405,54.245,"(18.405000, 54.245000)"
7340,Dhofar 192,6976.0,Valid,H4,4779.0,Found,1999.0,18.26167,54.24333,"(18.261670, 54.243330)"
7341,Dhofar 193,6977.0,Valid,H4,582.0,Found,2000.0,18.68667,54.41833,"(18.686670, 54.418330)"
7342,Dhofar 194,6978.0,Valid,H4,134.0,Found,2000.0,18.83667,54.27,"(18.836670, 54.270000)"
7343,Dhofar 195,6979.0,Valid,H3-5,2384.0,Found,1999.0,18.26333,54.24667,"(18.263330, 54.246670)"
7344,Dhofar 196,6980.0,Valid,L6,584.0,Found,1999.0,18.18333,54.145,"(18.183330, 54.145000)"
7345,Dhofar 197,6981.0,Valid,H4,174.5,Found,1999.0,18.38833,54.26667,"(18.388330, 54.266670)"
7346,Dhofar 198,6982.0,Valid,L5,828.0,Found,1999.0,18.71333,54.10833,"(18.713330, 54.108330)"
7347,Dhofar 199,6983.0,Valid,H4,160.0,Found,1999.0,18.39333,54.16667,"(18.393330, 54.166670)"
7348,Dhofar 200,6984.0,Valid,H4,1816.0,Found,2000.0,19.30333,54.59833,"(19.303330, 54.598330)"
7349,Dhofar 201,6985.0,Valid,L5,139.0,Found,1999.0,18.39333,54.16667,"(18.393330, 54.166670)"
7350,Dhofar 202,6986.0,Valid,H4-5,1178.1,Found,2000.0,19.41667,54.75667,"(19.416670, 54.756670)"
7351,Dhofar 203,6987.0,Valid,H4,274.0,Found,2000.0,18.18333,54.12333,"(18.183330, 54.123330)"
7352,Dhofar 204,6988.0,Valid,L6,41.4,Found,2000.0,19.41833,54.76333,"(19.418330, 54.763330)"
7353,Dhofar 205,6989.0,Valid,H4-5,20.0,Found,2000.0,19.39333,54.78,"(19.393330, 54.780000)"
7354,Dhofar 206,6990.0,Valid,L3.7,190.0,Found,2000.0,18.23833,54.135,"(18.238330, 54.135000)"
7355,Dhofar 207,6991.0,Valid,H3.4/3.5,499.5,Found,1999.0,18.26333,54.06833,"(18.263330, 54.068330)"
7356,Dhofar 208,6992.0,Valid,H3.9,12.0,Found,2000.0,18.80167,54.29,"(18.801670, 54.290000)"
7357,Dhofar 209,6993.0,Valid,H4,111.0,Found,2001.0,18.49333,54.25167,"(18.493330, 54.251670)"
7358,Dhofar 210,6994.0,Valid,L4,272.0,Found,2000.0,18.75833,54.42667,"(18.758330, 54.426670)"
7359,Dhofar 211,6995.0,Valid,H4,255.0,Found,2001.0,18.25667,54.18167,"(18.256670, 54.181670)"
7360,Dhofar 212,6996.0,Valid,H3.9,1456.0,Found,2000.0,18.86,54.83167,"(18.860000, 54.831670)"
7361,Dhofar 213,6997.0,Valid,H5,256.0,Found,2000.0,18.525,54.11667,"(18.525000, 54.116670)"
7362,Dhofar 214,6998.0,Valid,H6,11.0,Found,2001.0,19.04333,54.555,"(19.043330, 54.555000)"
7363,Dhofar 215,6999.0,Valid,H4,86.0,Found,2001.0,18.535,54.32167,"(18.535000, 54.321670)"
7364,Dhofar 216,7000.0,Valid,L6,70.0,Found,2001.0,18.59833,54.32167,"(18.598330, 54.321670)"
7365,Dhofar 217,7001.0,Valid,L6,602.0,Found,2000.0,18.74667,54.565,"(18.746670, 54.565000)"
7366,Dhofar 218,7002.0,Valid,H4,570.0,Found,2001.0,18.685,54.40667,"(18.685000, 54.406670)"
7367,Dhofar 219,7003.0,Valid,H5,99.0,Found,2001.0,18.14,54.16167,"(18.140000, 54.161670)"
