,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
25934,Shişr 101,35717.0,Valid,L6,1400.0,Found,2002.0,18.62618,53.91583,"(18.626180, 53.915830)"
25935,Shişr 102,35718.0,Valid,L6,3600.0,Found,2002.0,18.6262,53.9156,"(18.626200, 53.915600)"
25936,Shişr 103,35719.0,Valid,H4,842.5,Found,2002.0,18.52173,53.80392,"(18.521730, 53.803920)"
25937,Shişr 104,35720.0,Valid,L5,550.0,Found,2002.0,18.55185,53.90912,"(18.551850, 53.909120)"
25938,Shişr 105,35721.0,Valid,L5,490.5,Found,2002.0,18.54353,53.97635,"(18.543530, 53.976350)"
25939,Shişr 106,35722.0,Valid,LL~5,379.59,Found,2001.0,18.19152,53.8129,"(18.191520, 53.812900)"
25940,Shişr 107,35723.0,Valid,L~6,106.61,Found,2001.0,18.19028,53.80828,"(18.190280, 53.808280)"
25941,Shişr 108,35724.0,Valid,L~5,35.41,Found,2001.0,18.19232,53.80368,"(18.192320, 53.803680)"
25942,Shişr 109,35725.0,Valid,L~6,114.04,Found,2001.0,18.65415,53.92847,"(18.654150, 53.928470)"
25943,Shişr 110,35726.0,Valid,H~4,853.0,Found,2001.0,18.18898,53.80485,"(18.188980, 53.804850)"
25944,Shişr 111,35727.0,Valid,H~5,762.7,Found,2001.0,18.65213,53.92715,"(18.652130, 53.927150)"
25945,Shişr 112,45949.0,Valid,L~6,36.8,Found,2007.0,18.24983,53.99637,"(18.249830, 53.996370)"
25946,Shişr 113,51668.0,Valid,H~5,12.5,Found,2007.0,18.25095,53.99868,"(18.250950, 53.998680)"
25947,Shişr 114,51669.0,Valid,H~5,2.4,Found,2007.0,18.25285,53.99867,"(18.252850, 53.998670)"
25948,Shişr 115,51670.0,Valid,H~5,2.9,Found,2007.0,18.25373,53.99875,"(18.253730, 53.998750)"
25949,Shişr 116,51671.0,Valid,H~5,2.9,Found,2007.0,18.25375,53.99863,"(18.253750, 53.998630)"
25950,Shişr 117,51672.0,Valid,H~5,4.8,Found,2007.0,18.25438,53.99838,"(18.254380, 53.998380)"
25951,Shişr 118,51715.0,Valid,L/LL4,10.2,Found,2007.0,18.25305,53.99552,"(18.253050, 53.995520)"
25952,Shişr 119,51673.0,Valid,H~5,6.8,Found,2007.0,18.25423,53.998,"(18.254230, 53.998000)"
25953,Shişr 120,51674.0,Valid,H~5,8.2,Found,2007.0,18.25465,53.99447,"(18.254650, 53.994470)"
25954,Shişr 121,51675.0,Valid,H4,49.0,Found,2007.0,18.25862,53.99213,"(18.258620, 53.992130)"
25955,Shişr 122,51676.0,Valid,H~5,46.2,Found,2007.0,18.25873,53.9932,"(18.258730, 53.993200)"
25956,Shişr 123,51677.0,Valid,H~5,48.2,Found,2007.0,18.25872,53.9932,"(18.258720, 53.993200)"
25957,Shişr 124,51678.0,Valid,H~5,1.9,Found,2007.0,18.25868,53.99323,"(18.258680, 53.993230)"
25958,Shişr 125,45950.0,Valid,H~5,23.9,Found,2007.0,18.25795,53.99355,"(18.257950, 53.993550)"
25959,Shişr 126,51679.0,Valid,H5,11.7,Found,2007.0,18.25795,53.99342,"(18.257950, 53.993420)"
25960,Shişr 127,51680.0,Valid,H~5,6.1,Found,2007.0,18.25805,53.99318,"(18.258050, 53.993180)"
25961,Shişr 128,51681.0,Valid,H~5,52.4,Found,2007.0,18.25813,53.99317,"(18.258130, 53.993170)"
25962,Shişr 129,51682.0,Valid,H~5,25.2,Found,2007.0,18.25802,53.99347,"(18.258020, 53.993470)"
25963,Shişr 130,51683.0,Valid,H~5,13.4,Found,2007.0,18.25818,53.99313,"(18.258180, 53.993130)"
25964,Shişr 131,51684.0,Valid,H~5,2.8,Found,2007.0,18.25838,53.99282,"(18.258380, 53.992820)"
25965,Shişr 132,51685.0,Valid,H~5,13.6,Found,2007.0,18.25875,53.99245,"(18.258750, 53.992450)"
25966,Shişr 133,51686.0,Valid,H~5,12.3,Found,2007.0,18.25942,53.99298,"(18.259420, 53.992980)"
25967,Shişr 134,51687.0,Valid,H~5,0.5,Found,2007.0,18.25883,53.99285,"(18.258830, 53.992850)"
25968,Shişr 135,51688.0,Valid,H~5,69.7,Found,2007.0,18.25902,53.99177,"(18.259020, 53.991770)"
25969,Shişr 136,45951.0,Valid,H~5,1.6,Found,2007.0,18.25932,53.99108,"(18.259320, 53.991080)"
25970,Shişr 137,45952.0,Valid,L~4,150.9,Found,2007.0,18.25432,53.99733,"(18.254320, 53.997330)"
25971,Shişr 138,45953.0,Valid,L~6,17.4,Found,2007.0,18.25435,53.99495,"(18.254350, 53.994950)"
25972,Shişr 139,45954.0,Valid,L~6,17.2,Found,2007.0,18.25393,53.99697,"(18.253930, 53.996970)"
25973,Shişr 140,45955.0,Valid,H~5,37.6,Found,2007.0,18.254,53.99872,"(18.254000, 53.998720)"
25974,Shişr 141,51689.0,Valid,H~5,38.6,Found,2007.0,18.25387,53.99783,"(18.253870, 53.997830)"
25975,Shişr 142,51690.0,Valid,H~5,25.3,Found,2007.0,18.25147,53.99885,"(18.251470, 53.998850)"
25976,Shişr 143,51691.0,Valid,H~5,16.0,Found,2007.0,18.25145,53.99693,"(18.251450, 53.996930)"
25977,Shişr 144,45956.0,Valid,H~6,10.2,Found,2007.0,18.2517,53.9981,"(18.251700, 53.998100)"
25978,Shişr 145,51692.0,Valid,H~5,12.7,Found,2007.0,18.25222,53.99795,"(18.252220, 53.997950)"
25979,Shişr 146,51693.0,Valid,H~5,6.9,Found,2007.0,18.25188,53.998,"(18.251880, 53.998000)"
25980,Shişr 147,51694.0,Valid,H~5,20.7,Found,2007.0,18.25087,53.99695,"(18.250870, 53.996950)"
25981,Shişr 148,51695.0,Valid,H~5,23.0,Found,2007.0,18.25072,53.99667,"(18.250720, 53.996670)"
25982,Shişr 149,51696.0,Valid,H~5,14.1,Found,2007.0,18.25217,53.99737,"(18.252170, 53.997370)"
25983,Shişr 150,51697.0,Valid,H~5,61.3,Found,2007.0,18.25398,53.99522,"(18.253980, 53.995220)"
25984,Shişr 151,51698.0,Valid,H~5,8.1,Found,2007.0,18.25423,53.99485,"(18.254230, 53.994850)"
25985,Shişr 152,51699.0,Valid,H~5,12.8,Found,2007.0,18.2552,53.99703,"(18.255200, 53.997030)"
25986,Shişr 153,51700.0,Valid,H~5,9.8,Found,2007.0,18.25432,53.9955,"(18.254320, 53.995500)"
25987,Shişr 154,51701.0,Valid,H~5,53.2,Found,2007.0,18.25895,53.99373,"(18.258950, 53.993730)"
25988,Shişr 155,51702.0,Valid,H4,32.5,Found,2007.0,18.25985,53.99282,"(18.259850, 53.992820)"
25989,Shişr 156,51703.0,Valid,H~5,130.0,Found,2007.0,18.2611,53.99332,"(18.261100, 53.993320)"
25990,Shişr 157,51704.0,Valid,H~5,5.6,Found,2007.0,18.26105,53.99233,"(18.261050, 53.992330)"
25991,Shişr 158,55268.0,Valid,H~5,61.4,Found,2007.0,18.25928,53.99248,"(18.259280, 53.992480)"
25992,Shişr 159,45957.0,Valid,H~5,113.8,Found,2007.0,18.2591,53.99205,"(18.259100, 53.992050)"
25993,Shişr 160,48649.0,Valid,Lunar,100.86,Found,2008.0,18.33633,53.3335,"(18.336330, 53.333500)"
25994,Shişr 161,47733.0,Valid,Lunar,57.2,Found,2008.0,18.604167,53.914667,"(18.604167, 53.914667)"
25995,Shişr 162,53579.0,Valid,Lunar (feldsp. breccia),5525.0,Found,2006.0,18.56667,53.83333,"(18.566670, 53.833330)"
25996,Shişr 163,48650.0,Valid,H4,1872.3,Found,2002.0,18.55712,53.91382,"(18.557120, 53.913820)"
25997,Shişr 164,48955.0,Valid,CV3,353.0,Found,2002.0,18.2525,53.998,"(18.252500, 53.998000)"
25998,Shişr 165,50972.0,Valid,H4,520.6,Found,2008.0,18.6066,53.96015,"(18.606600, 53.960150)"
25999,Shişr 166,51590.0,Valid,Lunar,128.8,Found,2008.0,18.54908,53.97798,"(18.549080, 53.977980)"
