,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
795,Rancho de la Presa,22390.0,Valid,H5,300.0,Observed,1899.0,19.86667,-100.81667,"(19.866670, -100.816670)"
796,Rangala,22392.0,Valid,L6,3224.5,Observed,1937.0,25.38333,72.01667,"(25.383330, 72.016670)"
797,Raoyang,22394.0,Valid,L6,4910.0,Observed,1919.0,38.2,115.7,"(38.200000, 115.700000)"
798,Ras Tanura,22395.0,Valid,H6,6.1,Observed,1961.0,26.66667,50.15,"(26.666670, 50.150000)"
799,Rasgrad,22396.0,Valid,Stone-uncl,24700.0,Observed,1740.0,43.5,26.53333,"(43.500000, 26.533330)"
800,Ratyn,22398.0,Valid,Stone-uncl,910.0,Observed,1880.0,52.2,17.98333,"(52.200000, 17.983330)"
801,Red Canyon Lake,53502.0,Valid,H5,18.41,Observed,2007.0,38.13742,-119.75812,"(38.137420, -119.758120)"
802,Reliegos,22584.0,Valid,L5,17300.0,Observed,1947.0,42.475,-5.33333,"(42.475000, -5.333330)"
803,Rembang,22585.0,Valid,"Iron, IVA",10000.0,Observed,1919.0,-6.73333,111.36667,"(-6.733330, 111.366670)"
804,Renazzo,22586.0,Valid,CR2,1000.0,Observed,1824.0,44.76667,11.28333,"(44.766670, 11.283330)"
805,Renca,22587.0,Valid,L5,300.0,Observed,1925.0,-32.75,-65.28333,"(-32.750000, -65.283330)"
806,Renqiu,22589.0,Valid,L6,355.0,Observed,1916.0,38.66667,116.13333,"(38.666670, 116.133330)"
807,Repeev Khutor,22590.0,Valid,"Iron, IIF",7000.0,Observed,1933.0,48.6,45.66667,"(48.600000, 45.666670)"
808,Revelstoke,22592.0,Valid,CI1,1.0,Observed,1965.0,51.33333,-118.95,"(51.333330, -118.950000)"
809,Rewari,22593.0,Valid,L6,3332.0,Observed,1929.0,28.2,76.66667,"(28.200000, 76.666670)"
810,Rich Mountain,22597.0,Valid,L6,668.0,Observed,1903.0,35.03333,-83.03333,"(35.033330, -83.033330)"
811,Richardton,22599.0,Valid,H5,90000.0,Observed,1918.0,46.88333,-102.31667,"(46.883330, -102.316670)"
812,Richland Springs,22602.0,Valid,OC,1900.0,Observed,1980.0,31.25,-99.03333,"(31.250000, -99.033330)"
813,Richmond,22603.0,Valid,LL5,1800.0,Observed,1828.0,37.46667,-77.5,"(37.466670, -77.500000)"
814,Rio Negro,22611.0,Valid,L4,1310.0,Observed,1934.0,-26.1,-49.8,"(-26.100000, -49.800000)"
815,Rivolta de Bassi,22614.0,Valid,Stone-uncl,103.3,Observed,1490.0,45.48333,9.51667,"(45.483330, 9.516670)"
816,Rochester,22637.0,Valid,H6,340.0,Observed,1876.0,41.08333,-86.28333,"(41.083330, -86.283330)"
817,Rockhampton,22640.0,Valid,Stone-uncl,1641.0,Observed,1895.0,-23.38333,150.51667,"(-23.383330, 150.516670)"
818,Roda,22641.0,Valid,Diogenite,400.0,Observed,1871.0,42.3,0.55,"(42.300000, 0.550000)"
819,Rodach,22642.0,Valid,Stone-uncl,2900.0,Observed,1775.0,50.35,10.8,"(50.350000, 10.800000)"
820,Rose City,22766.0,Valid,H5,10600.0,Observed,1921.0,44.51667,-83.95,"(44.516670, -83.950000)"
821,Rowton,22773.0,Valid,"Iron, IIIAB",3500.0,Observed,1876.0,52.76667,-2.51667,"(52.766670, -2.516670)"
822,Ruhobobo,22780.0,Valid,L6,465.5,Observed,1976.0,-1.45,29.83333,"(-1.450000, 29.833330)"
823,Rumuruti,22782.0,Valid,R3.8-6,67.0,Observed,1934.0,0.26667,36.53333,"(0.266670, 36.533330)"
824,Rupota,22783.0,Valid,L4-6,6000.0,Observed,1949.0,-10.26667,38.76667,"(-10.266670, 38.766670)"
